TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-16 10:02:09,1771236129831,app.dramacagency.com/dashboard/domains/search,POST,,,pr7v4-1771236129369-09af80f1a104,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",warning,production,main,,function,,app.dramacagency.com,app.dramacagency.com,dpl_CPjpt6xu3fH2AVLhyE2fAoNee3r5,,,,,[Paddle] PADDLE_API_KEY not set - billing features will be disabled,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 10:02:09,1771236129369,app.dramacagency.com/dashboard/domains/search,POST,,,pr7v4-1771236129369-09af80f1a104,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,,middleware,/_middleware,app.dramacagency.com,app.dramacagency.com,dpl_CPjpt6xu3fH2AVLhyE2fAoNee3r5,111,lhr1,274,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHJYCYP2PST0MPXSKK9V2H5B,vXpeW3mc9VAn,1
2026-02-16 10:02:09,1771236129369,app.dramacagency.com/dashboard/domains/search,POST,,,pr7v4-1771236129369-09af80f1a104,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,,function,/dashboard/domains/search,app.dramacagency.com,app.dramacagency.com,dpl_CPjpt6xu3fH2AVLhyE2fAoNee3r5,438,iad1,308,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHJYCYZPN9CFFMGXHEJ8EQPC,wwJZsgjtQ9AR,1
2026-02-16 10:01:56,1771236116391,app.dramacagency.com/dashboard/settings/domains/pricing,POST,,200,8gt5l-1771236116391-d232b4ae9f5e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/dashboard/settings/domains/pricing,app.dramacagency.com,dramac-1r66cl4sg-drake-machikos-projects.vercel.app,dpl_CPjpt6xu3fH2AVLhyE2fAoNee3r5,494,iad1,344,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHJYCJBFB521X6YNFVM3H6F9,GmXe4XrHmwk4,1
2026-02-16 10:01:56,1771236116391,app.dramacagency.com/dashboard/settings/domains/pricing,POST,,200,8gt5l-1771236116391-d232b4ae9f5e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,middleware,/_middleware,app.dramacagency.com,dramac-1r66cl4sg-drake-machikos-projects.vercel.app,dpl_CPjpt6xu3fH2AVLhyE2fAoNee3r5,135,lhr1,273,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHJYCJ0JKTJA1N6WT7VJ5KB5,vXpeW3mc9VAn,1
2026-02-16 10:01:45,1771236105727,app.dramacagency.com/dashboard/domains/search,POST,,200,8cnsx-1771236105727-1d47af1f534c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,middleware,/_middleware,app.dramacagency.com,dramac-1r66cl4sg-drake-machikos-projects.vercel.app,dpl_CPjpt6xu3fH2AVLhyE2fAoNee3r5,113,lhr1,273,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHJYC7K413B4N88Y9XBADECY,vXpeW3mc9VAn,1
2026-02-16 10:01:45,1771236105727,app.dramacagency.com/dashboard/domains/search,POST,,200,8cnsx-1771236105727-1d47af1f534c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/dashboard/domains/search,app.dramacagency.com,dramac-1r66cl4sg-drake-machikos-projects.vercel.app,dpl_CPjpt6xu3fH2AVLhyE2fAoNee3r5,426,iad1,371,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHJYC7X0ZHQ8H1EAE52N5H4S,GmXe4XrHmwk4,1
2026-02-16 10:01:26,1771236086590,app.dramacagency.com/dashboard/domains/search,GET,_rsc=1w2yi,,gz9r6-1771236086590-faf79021d8f8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,,,function,/dashboard/domains/search.rsc,app.dramacagency.com,,dpl_CPjpt6xu3fH2AVLhyE2fAoNee3r5,9,iad1,371,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHJYBN5YRS6A5N2NBDGCF0WD,GmXe4XrHmwk4,1
2026-02-16 10:01:26,1771236086590,app.dramacagency.com/dashboard/domains/search,GET,_rsc=1w2yi,,gz9r6-1771236086590-faf79021d8f8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,,,middleware,/_middleware,app.dramacagency.com,,dpl_CPjpt6xu3fH2AVLhyE2fAoNee3r5,99,lhr1,273,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHJYBMWJCK8T1VJSY0SHJ29W,vXpeW3mc9VAn,1
2026-02-16 10:01:25,1771236085616,app.dramacagency.com/dashboard/domains/search,GET,_rsc=1ld2y,200,9zgm5-1771236085616-37c56f80f30a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/dashboard/domains/search.rsc,app.dramacagency.com,dramac-1r66cl4sg-drake-machikos-projects.vercel.app,dpl_CPjpt6xu3fH2AVLhyE2fAoNee3r5,5,iad1,371,2048,,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,01KHJYBM1CQ86EX9C7AHCPJAV1,GmXe4XrHmwk4,2
