TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-16 18:46:21,1771267581035,app.dramacagency.com/api/webhooks/paddle,POST,,200,69jv6-1771267569807-48c27fea7896,Paddle,error,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,"[ResellerClub] HTTP 500 Internal Server Error from contacts/search.json Body: {""status"":""ERROR"",""message"":""Invalid customer-id: undefined""}",prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 18:46:21,1771267581036,app.dramacagency.com/api/webhooks/paddle,POST,,200,69jv6-1771267569807-48c27fea7896,Paddle,error,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,"[Provisioning] Multi-domain provisioning failed: Error [ResellerClubError]: API returned HTTP 500 Internal Server Error: {""status"":""ERROR"",""message"":""Invalid customer-id: undefined""}
    at E.executeRequest (.next/server/chunks/next-platform-dashboard_4691f7c7._.js:1:8009)
    at async (.next/server/chunks/next-platform-dashboard_4691f7c7._.js:1:6431) {
  code: 'RETRYABLE_ERROR',
  statusCode: 500,
  details: [Object]
}",prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 18:46:21,1771267581190,app.dramacagency.com/api/webhooks/paddle,POST,,200,69jv6-1771267569807-48c27fea7896,Paddle,error,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,"[Paddle Webhook] Provisioning failed for domain_register: API returned HTTP 500 Internal Server Error: {""status"":""ERROR"",""message"":""Invalid customer-id: undefined""}",prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 18:46:21,1771267581377,app.dramacagency.com/api/webhooks/paddle,POST,,200,69jv6-1771267569807-48c27fea7896,Paddle,info,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,[Paddle Webhook] Successfully processed: transaction.completed,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 18:46:16,1771267576079,app.dramacagency.com/api/webhooks/paddle,POST,,200,69jv6-1771267569807-48c27fea7896,Paddle,error,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,"[ResellerClub] HTTP 500 Internal Server Error from contacts/search.json Body: {""status"":""ERROR"",""message"":""Invalid customer-id: undefined""}",prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 18:46:16,1771267576079,app.dramacagency.com/api/webhooks/paddle,POST,,200,69jv6-1771267569807-48c27fea7896,Paddle,info,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,[ResellerClub] Retrying contacts/search.json after 4000ms (attempt 3/3),prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 18:46:10,1771267570152,app.dramacagency.com/api/webhooks/paddle,POST,,200,69jv6-1771267569807-48c27fea7896,Paddle,warning,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,"[Paddle Webhook] Error logging webhook: {
  code: '23505',
  details: 'Key (paddle_event_id)=(evt_01khkwa5prpbap811m2w95nbhz) already exists.',
  hint: null,
  message: 'duplicate key value violates unique constraint ""paddle_webhooks_paddle_event_id_key""'
}",prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 18:46:10,1771267570152,app.dramacagency.com/api/webhooks/paddle,POST,,200,69jv6-1771267569807-48c27fea7896,Paddle,info,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,[Paddle Webhook] Processing event: transaction.completed,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 18:46:10,1771267570152,app.dramacagency.com/api/webhooks/paddle,POST,,200,69jv6-1771267569807-48c27fea7896,Paddle,info,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,[Paddle Webhook] Domain/Email purchase completed: txn_01khkw92p7gax2sxd6appszwtz,prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
2026-02-16 18:46:11,1771267571858,app.dramacagency.com/api/webhooks/paddle,POST,,200,69jv6-1771267569807-48c27fea7896,Paddle,error,production,main,MISS,function,/api/webhooks/paddle,app.dramacagency.com,app.dramacagency.com,dpl_2wQtiTdKLQSSRmg9DB1sRoW15u7w,,,,,"[ResellerClub] HTTP 500 Internal Server Error from contacts/search.json Body: {""status"":""ERROR"",""message"":""Invalid customer-id: undefined""}",prj_Q6UBw1PhO0juODWAhb2OrtnlJNWA,,,,,
